TR  L0      1100.0000  1000.0000
TR  l1      1000.0000  1000.0000
DKD  L0
1         3493000   21.00
2         3414500   10.00
3         3571000   14.00
4          483500   16.00
5          605200   17.00
6          655500   14.00
7          715000   42.00
8          724200   41.00
9          442000   44.00
10         855500   20.00
11        1074500   40.00
12        1002000   26.60
13        1290000   26.00
14        1402200   22.60
15        1383000   16.00
16        1965000   15.40
17        3144700   14.40
