                BANG THANH QUA TOA DO PHANG VA DO CAO BINH SAI

 HE TOA DO PHANG UTM  **** KINH TUYEN TRUC: 106.15 **** ELLIPPSOID:WGS-84

             =====================================================
             | So  |   So     |          Toa do, Do cao          |
             | thu |   hieu   |-----------------------------------
             | tu  |   diem   |     x(m)   |    y(m)   |   h(m)  |
             =====================================================
             |    1|     D184 | 1823654.644| 552367.604| 391.287 |
             |    2|     D187 | 1822931.897| 554068.665| 360.404 |
             |    3|     D188 | 1821248.737| 553662.611| 362.045 |
             |    4|     KV01 | 1826451.318| 550608.909| 505.180 |
             |    5|     KV02 | 1826383.177| 550461.957| 500.134 |
             |    6|     KV03 | 1825803.178| 550431.906| 457.896 |
             |    7|     KV04 | 1825513.335| 550385.130| 455.540 |
             |    8|     KV05 | 1825182.952| 550339.123| 430.590 |
             |    9|     KV06 | 1825062.367| 550623.100| 439.102 |
             |   10|     KV07 | 1824621.113| 550721.564| 407.085 |
             |   11|     KV08 | 1824885.275| 550671.011| 426.230 |
             |   12|     KV09 | 1827014.801| 550943.775| 509.726 |
             |   13|     KV13 | 1824483.396| 550954.508| 358.578 |
             |   14|     KV14 | 1824468.431| 551381.821| 365.231 |
             |   15|     KV17 | 1824192.750| 551495.933| 366.863 |
             |   16|     KV18 | 1824116.621| 551590.358| 380.300 |
             |   17|     KV21 | 1824334.372| 553127.165| 407.293 |
             |   18|     KV22 | 1824477.969| 553050.127| 404.939 |
             |   19|     KV23 | 1824126.252| 552521.924| 397.480 |
             |   20|     KV24 | 1824077.625| 552338.648| 395.287 |
             |   21|     KV25 | 1824219.622| 554472.827| 436.456 |
             |   22|     KV26 | 1823979.208| 554333.890| 438.931 |
             |   23|     KV27 | 1824389.471| 553716.359| 429.945 |
             |   24|     KV28 | 1824207.029| 553331.631| 414.579 |
             |   25|     KV29 | 1823897.723| 552839.734| 408.165 |
             |   26|     KV30 | 1823790.425| 552598.062| 402.075 |
             |   27|     KV31 | 1823851.173| 551815.124| 373.353 |
             |   28|     KV32 | 1823721.022| 551968.898| 368.613 |
             |   29|     KV33 | 1823276.695| 551539.345| 347.927 |
             |   30|     KV34 | 1823199.835| 551448.664| 338.622 |
             |   31|     KV37 | 1822974.310| 551645.497| 326.612 |
             |   32|     KV38 | 1822873.170| 551772.721| 322.471 |
             |   33|     KV39 | 1823153.902| 551619.507| 331.894 |
             |   34|     KV40 | 1823106.890| 551686.102| 342.926 |
             |   35|     KV41 | 1823354.931| 552142.628| 357.817 |
             |   36|     KV42 | 1823221.917| 552191.725| 362.329 |
             |   37|     KV43 | 1823560.152| 552326.750| 383.493 |
             |   38|     KV44 | 1823271.227| 552481.412| 376.470 |
             |   39|     KV45 | 1823379.862| 553474.864| 357.337 |
             |   40|     KV46 | 1823367.353| 553574.872| 363.204 |
