


                            KET QUA TINH TOAN BINH SAI
                          xa A Doi
                            ==========================


                                                                      Bang 1


                 BANG TRI DO GIA SO TOA DO VA CAC CHI TIEU SAI SO

         HE TOA DO VUONG GOC KHONG GIAN        ELLIPSOID QUI CHIEU:WGS-84
=================================================================================
|Lan do| D. dau  D. cuoi |    DX    |    DY    |    DZ    |  RMS | RDOP | RATIO |
=================================================================================
| 100-1|    D184     KV22|  -592.139|  -408.147|   791.811| 0.009| 8.082|  8.900|
| 100-1|    D184     KV26| -1870.859|  -610.197|   320.097| 0.008| 6.040| 10.200|
| 100-1|    D184     KV30|  -212.953|   -93.350|   132.736| 0.006| 3.827|  9.600|
| 099-3|    D184     KV32|   393.472|    75.681|    58.145| 0.010|11.7426.500|  6.500|
| 099-3|    D184     KV33|   775.376|   301.234|  -372.838| 0.008| 6.208| 13.600|
| 099-3|    D184     KV43|    33.790|    30.351|   -92.734| 0.008| 5.800| 14.000|
| 101-2|    D187     KV49|    87.849|   -36.686|   256.742| 0.011|10.24820.400| 20.400|
| 101-2|    D187     KV51|  -249.725|  -198.700|   611.222| 0.011|10.98218.200| 18.200|
| 101-2|    D187     KV52|  -347.052|  -248.724|   759.863| 0.013|14.6493.900|  3.900|
| 101-2|    D187     KV61|    -9.277|    15.637|   -82.004| 0.010| 8.744|  9.700|
| 101-2|    D187     KV62|   154.777|    40.494|    13.139| 0.010| 9.880| 28.900|
| 104-1|    D188     V121|    49.963|    13.640|    -3.686| 0.006| 2.871| 11.000|
| 101-5|    D188     V123|  -147.893|  -180.207|   360.110| 0.012|11.0037.700|  7.700|
| 102-3|    KV01     KV02|   136.754|    56.170|   -66.442| 0.007| 4.862| 15.900|
| 102-3|    KV01     KV03|   131.054|   184.314|  -634.533| 0.016|20.6354.900|  4.900|
| 102-3|    KV01     KV09|  -277.217|  -245.849|   540.837| 0.016|21.77710.500| 10.500|
| 102-3|    KV02     KV03|    -5.700|   128.145|  -568.090| 0.015|18.2245.200|  5.200|
| 102-3|    KV02     KV04|    16.711|   218.500|  -846.587| 0.016|21.7564.400|  4.400|
| 102-3|    KV02     KV05|    41.396|   298.933| -1170.380| 0.018|28.8022.900|  2.900|
| 102-3|    KV02     KV09|  -413.970|  -302.018|   607.278| 0.016|22.3986.300|  6.300|
| 102-3|    KV03     KV04|    22.409|    90.356|  -278.496| 0.011| 9.093| 10.800|
| 102-3|    KV03     KV06|  -236.896|   129.952|  -716.144| 0.014|17.83434.500| 34.500|
| 102-3|    KV03     KV09|  -408.277|  -430.158|  1175.363| 0.018|26.9092.700|  2.700|
| 102-3|    KV04     KV05|    24.686|    80.434|  -323.796| 0.010| 8.347|  8.900|
| 102-3|    KV05     KV06|  -283.991|   -40.842|  -113.853| 0.010| 8.056|  8.300|
| 102-3|    KV06     KV04|   259.306|   -39.595|   437.649| 0.012|13.1256.400|  6.400|
| 102-4|    KV06     KV07|  -120.575|    62.671|  -432.449| 0.011|11.7419.800|  9.800|
