

Session From  To        dx(m)       dy(m)        dz(m)      dh(m)     rms    Re_Var   ratio
 100-1  D184  KV22     -592.139     -408.147      791.811    13.609   0.009   8.082    8.900
 100-1  D184  KV26    -1870.859     -610.197      320.097    47.632   0.008   6.040   10.200
 100-1  D184  KV30     -212.953      -93.350      132.736    10.784   0.006   3.827    9.600
 099-3  D184  KV32      393.472       75.681       58.145   -22.678   0.010  11.742    6.500
 099-3  D184  KV33      775.376      301.234     -372.838   -43.326   0.008   6.208   13.600
 099-3  D184  KV43       33.790       30.351      -92.734    -7.783   0.008   5.800   14.000
 101-2  D187  KV49       87.849      -36.686      256.742    14.872   0.011  10.248   20.400
 101-2  D187  KV51     -249.725     -198.700      611.222    60.047   0.011  10.982   18.200
 101-2  D187  KV52     -347.052     -248.724      759.863    83.218   0.013  14.649    3.900
 101-2  D187  KV61       -9.277       15.637      -82.004    -6.342   0.010   8.744    9.700
 101-2  D187  KV62      154.777       40.494       13.139    -1.883   0.010   9.880   28.900
 104-1  D188  V121       49.963       13.640       -3.686    -2.331   0.006   2.871   11.000
 101-5  D188  V123     -147.893     -180.207      360.110   -22.507   0.012  11.003    7.700
 102-3  KV01  KV02      136.754       56.170      -66.442    -5.043   0.007   4.862   15.900
 102-3  KV01  KV03      131.054      184.314     -634.533   -47.250   0.016  20.635    4.900
 102-3  KV01  KV09     -277.217     -245.849      540.837     4.516   0.016  21.777   10.500
 102-3  KV02  KV03       -5.700      128.145     -568.090   -42.207   0.015  18.224    5.200
 102-3  KV02  KV04       16.711      218.500     -846.587   -44.550   0.016  21.756    4.400
 102-3  KV02  KV05       41.396      298.933    -1170.380   -69.484   0.018  28.802    2.900
 102-3  KV02  KV09     -413.970     -302.018      607.278     9.559   0.016  22.398    6.300
 102-3  KV03  KV04       22.409       90.356     -278.496    -2.341   0.011   9.093   10.800
 102-3  KV03  KV06     -236.896      129.952     -716.144   -18.755   0.014  17.834   34.500
 102-3  KV03  KV09     -408.277     -430.158     1175.363    51.770   0.018  26.909    2.700
 102-3  KV04  KV05       24.686       80.434     -323.796   -24.934   0.010   8.347    8.900
 102-3  KV05  KV06     -283.991      -40.842     -113.853     8.517   0.010   8.056    8.300
 102-3  KV06  KV04      259.306      -39.595      437.649    16.414   0.012  13.125    6.400
 102-4  KV06  KV07     -120.575       62.671     -432.449   -31.993   0.011  11.741    9.800
 102-4  KV06  KV08      -56.428       22.726     -173.583   -12.861   0.008   5.328   19.100
 102-3  KV06  KV09     -171.373     -560.117     1891.500    70.514   0.017  23.633    2.700
 102-4  KV06  KV14     -753.675     -123.785     -592.251   -73.839   0.016  24.901    3.700
 102-4  KV07  KV13     -220.708      -73.912     -146.358   -48.519   0.010   8.269    9.100
 102-4  KV08  KV07      -64.147       39.946     -258.865   -19.131   0.009   6.414   16.500
 104-2  KV09  KV14     -582.304      436.328    -2483.759  -144.359   0.010   8.858    6.800
 102-4  KV13  KV08      284.855       33.967      405.223    67.650   0.012  11.078    7.400
 099-1  KV13  KV14     -412.379     -112.569      -13.435     6.648   0.013  17.124    2.700
 099-1  KV13  KV17     -544.060      -68.679     -277.599     8.302   0.013  16.564    2.800
 099-1  KV13  KV34     -569.867      189.603    -1237.685   -19.895   0.015  24.703    3.100
 102-4  KV14  KV08      697.247      146.508      418.667    60.975   0.015  22.208    4.300
 099-1  KV14  KV17     -131.678       43.882     -264.162     1.646   0.009   8.245   11.500
 099-1  KV14  KV18     -231.892       49.843     -333.571    15.084   0.011  11.920   13.500
 099-2  KV14  KV22    -1608.333     -445.642       16.537    39.710   0.009   8.113    3.600
 099-1  KV14  KV31     -466.386       51.248     -590.616     8.155   0.012  13.342   14.000
 099-1  KV17  KV18     -100.215        5.963      -69.405    13.440   0.013  13.056    2.600
 099-1  KV17  KV34      -25.812      258.291     -960.088   -28.188   0.011  11.284    3.300
 099-1  KV18  KV31     -234.491        1.401     -257.045    -6.933   0.012  15.120   12.400
 099-1  KV18  KV34       74.403      252.325     -890.680   -41.631   0.011  12.211    6.800
 099-2  KV21  KV22       85.872      -19.125      137.208    -2.331   0.004   1.424   23.900
 104-1  KV21  KV28     -208.007      -17.380     -120.521     7.306   0.005   2.633   15.300
 104-1  KV21  KV29      240.389      202.493     -417.804     0.895   0.006   3.072   13.100
 104-2  KV22  KV09     2190.659        9.308     2467.224   104.638   0.010   6.798    9.700
 099-2  KV22  KV23      480.078      240.910     -338.154    -7.441   0.007   4.947    4.500
 100-1  KV22  KV29      154.530      221.657     -555.020     3.255   0.007   3.476   22.900
 099-2  KV23  KV14     1128.258      204.731      321.618   -32.270   0.011  10.355    4.600
 099-2  KV23  KV24      172.305       63.926      -46.826    -2.191   0.007   5.428   50.400
 099-2  KV23  KV32      505.475      243.126     -395.439   -28.617   0.009   7.581    9.400
 099-2  KV24  KV14      955.951      140.806      368.444   -30.077   0.010   9.743    4.400
 099-2  KV24  KV31      489.576      192.048     -222.170   -21.931   0.009   7.991   17.200
 099-2  KV24  KV32      333.169      179.200     -348.613   -26.425   0.010   9.218    2.600
 100-1  KV25  KV26      113.289      107.795     -229.509     2.488   0.005   2.254   20.200
 100-1  KV25  KV27      739.888      165.337      162.853    -6.523   0.008   5.105   16.500
 104-3  KV25  KV52      -41.205      148.753     -495.654     7.271   0.008   4.753   13.100
 100-1  KV26  KV27      626.598       57.543      392.362    -9.010   0.008   5.058   10.100
 100-1  KV26  KV28      984.867      203.831      213.964   -24.366   0.006   3.361   13.000
 100-2  KV26  KV43     1904.624      640.552     -412.850   -55.409   0.007   4.865    5.000
 100-2  KV26  KV45      797.748      335.571     -595.875   -81.553   0.007   4.840   12.000
 100-1  KV27  KV22      652.120      144.507       79.351   -25.014   0.008   4.482   17.800
 100-1  KV27  KV28      358.271      146.284     -178.399   -15.361   0.007   4.538   11.400
 100-1  KV28  KV29      448.380      219.878     -297.272    -6.399   0.006   2.355   24.400
 100-1  KV29  KV26    -1433.248     -423.710       83.307    30.765   0.006   3.210   16.100
 100-1  KV29  KV30      224.657       93.136     -104.057    -6.085   0.005   2.347   26.300
 100-1  KV30  KV22     -379.188     -314.792      659.077     2.830   0.007   3.790   15.700
 100-1  KV30  KV26    -1657.905     -516.845      187.365    36.851   0.007   3.471   12.600
 099-1  KV31  KV33      225.568      212.465     -557.495   -25.404   0.009   7.087   11.800
 099-3  KV32  KV33      381.907      225.551     -430.984   -20.651   0.011  12.126    5.500
 099-1  KV33  KV18        8.928     -213.871      814.541    32.330   0.013  14.318    7.500
 099-3  KV33  KV37     -119.871       32.528     -296.255   -21.090   0.006   4.040   21.000
 099-3  KV33  KV39      -82.119       -4.294     -122.491   -16.027   0.007   4.819   17.200
 099-3  KV33  KV43     -741.589     -270.880      280.105    35.547   0.008   6.277   12.700
 099-1  KV34  KV33      -83.333      -38.453       76.141     9.302   0.009   7.184   24.000
 100-5  KV37  KV38     -128.762      -12.802      -98.463    -4.135   0.008   6.742   11.500
 100-5  KV38  KV40       95.890      -20.009      230.141    20.442   0.008   4.880   18.700
 100-5  KV38  KV73      -55.215       40.716     -227.010   -11.762   0.010   9.397   10.300
 099-3  KV39  KV37      -37.753       36.824     -173.764    -5.062   0.007   5.155   90.400
 099-3  KV39  KV40      -70.599        3.799      -42.117    11.032   0.007   4.218   19.900
 099-3  KV39  KV43     -659.471     -266.585      402.595    51.574   0.009   7.182   12.100
 100-4  KV40  KV41     -421.742     -185.105      241.039    14.888   0.011  14.351    4.600
 100-4  KV40  KV42     -480.594     -158.818      114.649    19.416   0.011  12.261    6.500
 099-3  KV40  KV43     -588.871     -270.383      444.712    40.543   0.009   6.609   11.200
 100-5  KV40  KV72     -265.372       17.309     -381.825   -19.149   0.012  14.767    6.200
 100-4  KV41  KV42      -58.846       26.281     -126.393     4.520   0.014  21.962    3.400
 100-2  KV41  KV43     -167.163      -85.291      203.655    25.648   0.014  16.806    4.300
 100-2  KV41  KV68     -670.394      -93.542     -370.235    -5.753   0.009   6.780    5.600
 100-4  KV41  KV69     -403.263       22.163     -458.432     1.669   0.012  16.671    5.100
 100-4  KV42  KV69     -344.422       -4.113     -332.036    -2.845   0.009   7.429   11.500
 100-4  KV42  KV70     -210.309       35.767     -360.767   -11.423   0.009   7.393    4.500
 100-4  KV42  KV78      -66.870      337.915    -1356.113   -55.882   0.011  11.847    7.600
 100-2  KV43  KV44     -169.167       27.836     -279.431    -7.008   0.005   2.528   15.600
 100-2  KV44  KV41      336.329       57.437       75.769   -18.658   0.007   4.178    7.300
 100-2  KV44  KV45     -937.707     -332.818       96.406   -19.137   0.006   3.468    7.200
 100-2  KV44  KV68     -334.068      -36.094     -294.465   -24.400   0.008   5.685   10.200
 100-2  KV45  KV43     1106.874      304.983      183.024    26.146   0.008   5.468   10.500
 100-2  KV45  KV46      -98.410      -19.967      -10.570     5.868   0.006   3.728    7.600
 100-2  KV46  KV26     -699.337     -315.606      606.445    75.684   0.007   4.362    6.000
 104-4  KV46  KV66       48.096      135.645     -408.525    -4.660   0.006   2.882    5.500
 100-2  KV46  KV67      524.700      265.798     -377.666    -8.111   0.007   4.535    6.900
 101-2  KV49  KV52     -434.900     -212.034      503.121    68.350   0.008   5.789   10.000
 101-2  KV51  KV49      337.574      162.012     -354.479   -45.177   0.006   3.676   17.600
 104-4  KV52  KV46      853.848      274.643     -340.286   -80.471   0.007   3.805    4.800
 101-2  KV52  KV51       97.326       50.022     -148.643   -23.173   0.006   4.135   13.300
 101-3  KV52  KV53       40.887      135.658     -635.731   -67.156   0.008   5.208    2.600
 101-3  KV52  KV54      -89.520       98.690     -598.681   -54.524   0.010   8.090    7.200
 101-3  KV52  KV55     -633.279      -62.538     -817.262  -114.167   0.013  13.249    5.200
 101-3  KV52  KV56     -486.444      -24.016     -756.804  -102.265   0.013  13.002    5.100
 101-2  KV52  KV61      337.769      264.365     -841.869   -89.555   0.011  10.170    5.900
 104-4  KV52  KV66      901.943      410.280     -748.819   -85.140   0.008   5.691    5.500
 101-3  KV53  KV54     -130.401      -36.996       37.046    12.604   0.011  12.100    2.800
 101-3  KV53  KV57     -711.460     -178.662     -282.008   -47.263   0.015  18.523    2.800
 104-3  KV53  KV85     -101.080       87.838     -459.420   -21.729   0.016  33.654    4.500
 101-3  KV53  KV89      180.607      247.076     -763.446   -39.644   0.013  15.914    2.500
 101-3  KV54  KV57     -581.057     -141.671     -319.057   -59.873   0.013  12.753    4.500
 101-3  KV55  KV56      146.835       38.524       60.458    11.904   0.006   3.567   15.500
 101-3  KV56  KV54      396.925      122.703      158.122    47.739   0.009   6.945    9.200
 101-3  KV57  KV55       37.297      -19.555      100.477     0.232   0.006   3.322   15.600
 101-3  KV57  KV56      184.132       18.970      160.935    12.137   0.008   5.466    9.500
 104-3  KV57  KV58       -9.746       51.471     -201.933    -7.327   0.006   2.769   10.900
 101-4  KV58  KV84      690.146      255.249      -50.394    29.178   0.012  12.932   19.600
 101-4  KV58  KV85      619.949      214.941       24.515    32.828   0.015  22.546    3.100
 101-4  KV58  KV86      545.763      332.576     -547.597    -0.900   0.014  17.457   17.300
 101-4  KV58  KV87      573.381      309.244     -412.304     8.404   0.016  21.891   19.300
 101-4  KV58  KV89      901.823      374.289     -279.507    14.964   0.014  17.022   13.600
 101-3  KV61  KV53     -296.893     -128.665      206.146    22.442   0.012  14.013    3.200
 101-2  KV61  KV62      164.056       24.854       95.144     4.456   0.008   5.135   66.200
 101-3  KV61  KV89     -116.283      118.400     -557.308   -17.214   0.012  11.143   26.600
 101-2  KV62  KV49      -66.925      -77.185      243.603    16.750   0.006   2.855   13.300
 101-2  KV62  KV64      148.168       94.135     -197.711   -10.616   0.010  10.641   28.400
 101-2  KV62  KV65      267.450       97.730      -40.730     4.246   0.009   6.140   84.600
 101-2  KV64  KV61     -312.224     -118.988      102.568     6.161   0.010  10.597    3.500
 101-1  KV64  KV65      119.300        3.575      156.955    14.831   0.017  24.812    2.900
 101-1  KV64  KV81      655.281      342.894     -517.609   -13.068   0.015  19.048    4.000
 101-1  KV64  KV89     -428.478       -0.656     -454.780   -11.135   0.018  25.497    2.700
 101-2  KV65  KV49     -334.376     -174.913      284.334    12.506   0.009   7.315   57.500
 101-2  KV65  KV52     -769.277     -386.948      787.456    80.856   0.013  14.546    3.900
 101-1  KV65  KV66      132.684       23.328       38.659    -4.288   0.016  20.137    4.000
 101-1  KV65  KV81      535.981      339.319     -674.563   -27.899   0.010   7.224   10.800
 101-1  KV66  KV67      476.607      130.162       30.828    -3.453   0.018  20.675    4.000
 101-1  KV66  KV81      403.296      315.993     -713.222   -23.609   0.012  11.274    6.400
 100-2  KV67  KV45     -426.289     -245.832      388.235     2.243   0.006   3.417    8.100
 101-1  KV67  KV81      -73.309      185.831     -744.052   -20.158   0.009   6.551   11.900
 100-2  KV68  KV45     -603.642     -296.718      390.870     5.269   0.006   3.363    8.200
 100-2  KV68  KV67     -177.352      -50.887        2.635     3.026   0.006   2.758   18.700
 100-3  KV68  KV69      267.132      115.704      -88.190     7.423   0.007   4.527    8.100
 100-3  KV68  KV76      213.953      143.954     -266.402    -2.501   0.007   4.266    8.500
 100-3  KV68  KV77      109.348      163.839     -423.209     0.178   0.007   3.845    5.100
 100-3  KV68  KV81     -250.640      134.909     -741.434   -17.175   0.008   5.434    7.200
 100-4  KV69  KV70      134.106       39.884      -28.728    -8.572   0.007   4.258   22.700
 100-4  KV69  KV76      -53.190       28.253     -178.201    -9.915   0.007   4.842   20.400
 100-4  KV70  KV76     -187.296      -11.632     -149.474    -1.344   0.006   3.970   23.600
 100-4  KV70  KV79      -39.803      223.230     -861.713   -28.422   0.008   6.630   15.500
 100-5  KV72  KV38      169.481        2.702      151.688    -1.290   0.013  15.642    7.400
 100-5  KV72  KV78     -282.074      161.770     -859.644   -17.341   0.014  19.572    2.500
 100-5  KV73  KV37      183.978      -27.911      325.473    15.900   0.012  12.144    8.600
 100-5  KV73  KV72     -114.266      -43.414       75.326    13.057   0.014  19.784    5.000
 100-5  KV73  KV78     -396.342      118.358     -784.314    -4.281   0.012  12.168    9.500
 100-5  KV75  KV37      -65.007     -124.488      539.443    56.656   0.009   7.261   10.400
 100-5  KV75  KV73     -248.983      -96.575      213.971    40.759   0.010  10.093    7.600
 100-3  KV76  KV77     -104.605       19.896     -156.806     2.690   0.007   5.001    4.400
 100-4  KV76  KV79      147.494      234.861     -712.242   -27.080   0.008   5.996   18.000
 100-3  KV76  KV82     -103.914       77.353     -354.901    -0.926   0.010   9.629    3.200
 100-3  KV76  KV83      -38.483      119.097     -440.030    -4.814   0.008   6.065    6.600
 100-3  KV77  KV81     -359.990      -28.931     -318.225   -17.353   0.007   4.128    4.400
 100-3  KV77  KV82        0.689       57.442     -198.094    -3.629   0.010   9.404    4.300
 100-5  KV78  KV75      645.326      -21.784      570.342   -36.480   0.010   8.039   10.600
 100-4  KV78  KV79     -183.244      -78.917      133.633    16.039   0.005   2.421   41.600
 100-4  KV79  KV42      250.111     -258.997     1222.481    39.846   0.011  10.781    5.700
 104-5  KV79  KV83     -185.956     -115.750      272.193    22.268   0.011  12.923    3.300
 104-5  KV79  KV99     -815.511      -35.681     -574.455    29.698   0.009   6.202   10.700
 100-3  KV81  KV82      360.679       86.397      120.132    13.747   0.011  12.114    3.200
 100-3  KV81  KV83      426.108      128.142       35.004     9.861   0.008   6.008    9.200
 101-1  KV81  KV90     -174.725      -25.185     -106.342    -4.998   0.010   9.429    8.800
 100-3  KV82  KV83       65.428       41.748      -85.129    -3.883   0.011  11.524    3.000
 104-2  KV83  KV90     -600.855     -153.321     -141.326   -14.843   0.011  12.245    3.600
