_____________________________________________________________________________________________________________________________
|Thöa |  DiÖn tÝch |   T©m X    |     T©m Y  |  Lo¹i ®Êt  |        Tªn chñ sö dông         |           §Þa chØ              |
|-----|------------|------------|------------|------------|--------------------------------|--------------------------------|
|   0 |  399891.27 |   50578.17 |      170.5 |          T |                                |                                |
|   0 |  400264.95 |   49827.16 |      536.2 |          T |                                |                                |
|   0 |  400053.54 |   50371.54 |      595.9 |          T |                                |                                |
|   0 |  400067.58 |   50341.80 |        1.0 |          T |                                |                                |
|   0 |  400069.64 |   50351.10 |        0.9 |          T |                                |                                |
|   2 |  400099.23 |   50711.54 |     4164.1 |          T |                                |                                |
|   3 |  399945.80 |   50690.11 |      445.0 |          T |                                |                                |
|   4 |  399954.60 |   50682.78 |      179.0 |          T |                                |                                |
|   5 |  399999.02 |   50655.25 |      592.0 |          T |                                |                                |
|   6 |  399929.16 |   50633.98 |      166.0 |          T |                                |                                |
|   7 |  399831.36 |   50597.51 |    14801.1 |          T |                                |                                |
|   8 |  399907.79 |   50590.68 |     1003.0 |          T |                                |                                |
|   9 |  399868.18 |   50561.01 |      283.0 |          T |                                |                                |
|  10 |  399876.02 |   50566.04 |      313.0 |          T |                                |                                |
|  11 |  399884.99 |   50571.71 |      359.0 |          T |                                |                                |
|  12 |  399954.27 |   50565.50 |      314.0 |          T |                                |                                |
|  13 |  400020.24 |   50568.96 |      577.0 |          T |                                |                                |
|  15 |  399860.06 |   50556.87 |      291.0 |          T |                                |                                |
|  16 |  399956.51 |   50551.79 |      583.0 |          T |                                |                                |
|  17 |  399958.36 |   50539.98 |      210.0 |          T |                                |                                |
|  18 |  400023.26 |   50553.51 |      430.0 |          T |                                |                                |
|  19 |  400015.58 |   50544.36 |       79.0 |          T |                                |                                |
|  20 |  400313.58 |   50555.87 |    76639.0 |          T |                                |                                |
|  21 |  399959.37 |   50533.15 |      238.0 |          T |                                |                                |
|  22 |  399960.27 |   50526.68 |      220.0 |          T |                                |                                |
|  23 |  400025.69 |   50534.34 |      504.0 |          T |                                |                                |
|  24 |  400068.44 |   50538.35 |      296.0 |          T |                                |                                |
|  25 |  400068.75 |   50530.38 |      296.0 |          T |                                |                                |
|  26 |  400521.99 |   50538.51 |  2611501.0 |          T |                                |                                |
|  26 |  400244.36 |   49891.04 |      956.0 |          T |                                |                                |
|  27 |  399960.83 |   50510.50 |      452.0 |          T |                                |                                |
|  28 |  400027.94 |   50515.03 |      472.0 |          T |                                |                                |
|  29 |  400027.87 |   50504.54 |      238.0 |          T |                                |                                |
|  30 |  400069.22 |   50513.13 |      588.0 |          T |                                |                                |
|  31 |  399767.49 |   50484.94 |      273.0 |          T |                                |                                |
|  32 |  399767.65 |   50493.56 |      218.0 |          T |                                |                                |
|  33 |  399879.02 |   50488.51 |      368.0 |          T |                                |                                |
|  34 |  399920.70 |   50491.97 |      451.0 |          T |                                |                                |
|  35 |  399960.36 |   50491.06 |      419.0 |          T |                                |                                |
|  36 |  400027.15 |   50487.36 |      471.0 |          T |                                |                                |
|  37 |  400069.57 |   50483.95 |      506.0 |          T |                                |                                |
|  38 |  400069.90 |   50497.20 |      574.0 |          T |                                |                                |
|  39 |  399766.16 |   50468.98 |      253.0 |          T |                                |                                |
|  40 |  399766.97 |   50476.93 |      257.0 |          T |                                |                                |
|  41 |  399878.02 |   50475.26 |      430.0 |          T |                                |                                |
|  42 |  399877.65 |   50462.59 |      304.0 |          T |                                |                                |
|  43 |  399920.38 |   50480.72 |      440.0 |          T |                                |                                |
|  45 |  399960.36 |   50477.40 |      419.0 |          T |                                |                                |
|  46 |  400026.31 |   50473.38 |      482.0 |          T |                                |                                |
|  47 |  400067.95 |   50469.78 |      542.0 |          T |                                |                                |
|  48 |  399877.97 |   50452.36 |      252.0 |          T |                                |                                |
|  49 |  399922.58 |   50451.52 |      400.0 |          T |                                |                                |
|  50 |  399958.48 |   50439.12 |      620.0 |          T |                                |                                |
|  51 |  400023.54 |   50445.02 |      453.0 |          T |                                |                                |
|  52 |  400025.03 |   50459.17 |      582.0 |          T |                                |                                |
|  53 |  400064.56 |   50440.56 |      565.0 |          T |                                |                                |
|  54 |  400066.26 |   50455.21 |      550.0 |          T |                                |                                |
|  55 |  399922.75 |   50426.65 |      684.0 |          T |                                |                                |
|  56 |  399957.25 |   50425.71 |      165.0 |          T |                                |                                |
|  57 |  400021.02 |   50428.10 |      257.0 |          T |                                |                                |
|  58 |  400053.55 |   50421.04 |      382.0 |          T |                                |                                |
|  59 |  400108.20 |   50436.30 |      549.0 |          T |                                |                                |
|  60 |  400146.16 |   50432.55 |      457.0 |          T |                                |                                |
|  62 |  399956.04 |   50416.13 |      499.0 |          T |                                |                                |
|  63 |  400017.21 |   50402.99 |      396.0 |          T |                                |                                |
|  64 |  400019.24 |   50417.02 |      416.0 |          T |                                |                                |
|  65 |  400074.29 |   50418.22 |      284.0 |          T |                                |                                |
|  66 |  400104.25 |   50403.48 |      400.0 |          T |                                |                                |
|  67 |  400105.61 |   50416.18 |      294.0 |          T |                                |                                |
|  68 |  400143.21 |   50411.92 |      444.0 |          T |                                |                                |
|  69 |  400179.80 |   50408.29 |      455.0 |          T |                                |                                |
|  70 |  400509.01 |   50404.76 |     7142.0 |          T |                                |                                |
|  71 |  399752.64 |   50380.87 |      317.8 |          T |                                |                                |
|  72 |  399754.36 |   50393.26 |      126.0 |          T |                                |                                |
|  73 |  399895.90 |   50380.81 |      402.0 |          T |                                |                                |
|  74 |  399950.59 |   50385.16 |      210.0 |          T |                                |                                |
|  75 |  399951.52 |   50391.95 |      227.0 |          T |                                |                                |
|  76 |  399952.33 |   50399.14 |      220.0 |          T |                                |                                |
|  77 |  400015.17 |   50389.34 |      398.0 |          T |                                |                                |
|  78 |  400140.81 |   50397.06 |      471.0 |          T |                                |                                |
|  79 |  400178.46 |   50392.70 |      420.0 |          T |                                |                                |
|  81 |  400394.44 |   50387.80 |     2873.0 |          T |                                |                                |
|  82 |  399750.65 |   50368.33 |      318.0 |          T |                                |                                |
|  83 |  399896.70 |   50369.24 |      583.0 |          T |                                |                                |
|  84 |  399943.64 |   50369.16 |      503.0 |          T |                                |                                |
|  85 |  399950.12 |   50378.46 |      216.0 |          T |                                |                                |
|  86 |  400011.23 |   50361.21 |      439.0 |          T |                                |                                |
|  87 |  400013.17 |   50375.68 |      373.0 |          T |                                |                                |
|  89 |  399751.52 |   50341.60 |      187.0 |          T |                                |                                |
|  90 |  399751.75 |   50353.49 |      410.0 |          T |                                |                                |
|  91 |  400434.80 |   50428.71 |     5253.0 |          T |                                |                                |
|  91 |  399816.78 |   50343.87 |      524.0 |          T |                                |                                |
|  92 |  399857.81 |   50354.54 |      400.0 |          T |                                |                                |
|  93 |  399897.93 |   50355.50 |      601.0 |          T |                                |                                |
|  94 |  399899.18 |   50341.46 |      588.0 |          T |                                |                                |
|  95 |  399943.55 |   50355.25 |      535.0 |          T |                                |                                |
|  96 |  399943.59 |   50345.23 |      270.0 |          T |                                |                                |
|  97 |  400009.40 |   50346.71 |      371.0 |          T |                                |                                |
|  98 |  400050.80 |   50356.95 |      658.0 |          T |                                |                                |
|  99 |  400360.40 |   50354.28 |     3374.0 |          T |                                |                                |
| 100 |  399752.23 |   50329.55 |      395.0 |          T |                                |                                |
| 101 |  399819.99 |   50328.65 |      485.0 |          T |                                |                                |
| 102 |  399858.63 |   50339.49 |      425.0 |          T |                                |                                |
| 103 |  399859.41 |   50323.54 |      480.0 |          T |                                |                                |
