47  1868144.647 535575.890 346.877
p19  1867701.850 533828.344 313.579
p1  1869082.037 533935.902 332.073
p2  1869084.554 533936.340 333.179
p3  1869084.572 533936.346 333.148
p4  1869131.491 533914.184 345.528
p5  1869131.523 533914.159 345.536
p6  1869092.178 534033.931 340.654
p7  1869092.182 534034.101 340.688
p8  1869041.273 534137.809 327.965
p9  1869039.868 534130.590 328.859
p10  1869039.798 534130.476 328.863
p11  1869032.487 534139.923 326.190
p12  1869026.245 534137.811 326.072
p13  1869026.966 534126.007 326.925
p14  1869031.467 534120.364 327.294
p15  1869027.866 534103.201 327.741
p16  1869022.604 534099.132 327.810
p17  1869024.898 534080.538 328.378
p18  1869020.588 534071.797 328.596
p19  1869026.047 534061.506 328.862
p20  1869022.339 534056.647 328.910
p21  1869035.542 534034.353 329.087
p22  1869035.198 534024.877 329.239
p23  1869059.570 533970.012 329.798
p24  1869055.322 533967.746 329.810
p25  1869066.692 533955.753 329.980
p26  1869062.356 533951.893 329.764
p27  1869050.737 534015.202 330.657
p28l  1869091.954 534034.322 340.807
p28l1  1869073.663 534098.298 343.517
p28l2  1869077.051 534125.605 336.838
p28l3  1869133.738 533928.207 344.489
p28mui  1869133.619 533928.287 344.355
p28mui1  1869103.005 533947.603 336.634
p28mui2  1869087.631 533953.736 334.310
p28mui3  1869074.819 533953.613 330.847
p28mui4  1869074.847 533953.624 330.765
29  1868167.442 535581.935 346.665
30  1868167.448 535581.935 346.673
31  1868161.816 535586.987 347.207
32  1868148.944 535599.307 347.798
33  1868148.834 535599.344 347.577
34  1868146.665 535600.873 347.244
35  1868142.273 535601.744 347.339
36  1868142.284 535601.757 347.248
37  1868136.007 535591.240 347.207
38  1868138.276 535589.500 347.013
39  1868138.261 535589.482 347.011
40  1868132.310 535587.946 347.197
41  1868132.304 535587.973 347.171
42  1868134.293 535585.839 347.032
43  1868143.106 535575.956 346.887
44  1868144.964 535576.167 346.962
45  1868144.952 535576.172 346.881
46  1868144.929 535576.182 346.901
48  1868144.813 535575.845 347.154
49  1868144.827 535575.856 347.168
50  1868139.934 535574.523 346.972
51  1868139.730 535575.176 347.126
52  1868141.246 535571.375 347.256
53  1868142.284 535567.792 347.238
54  1868167.659 535573.171 348.352
55  1868166.705 535577.071 348.349
56  1868167.513 535581.829 347.237
57  1868167.524 535581.819 347.235
58  1868137.726 535589.587 347.019
59  1868137.746 535589.569 347.045
60  1868148.374 535599.798 347.265
61  1868148.371 535599.806 347.258
62  1868873.270 534005.549 322.994
63  1868871.752 534008.188 322.918
64  1868869.955 534011.032 322.594
65  1868869.957 534011.032 322.607
66  1868880.900 534012.189 322.927
67  1868880.921 534012.174 322.930
68  1868884.077 534010.331 322.987
69  1868890.148 534014.632 323.035
70  1868890.163 534014.650 323.038
71  1868888.856 534017.553 323.003
72  1868888.864 534017.569 323.003
73  1868884.412 534020.695 322.674
74  1868884.422 534020.695 322.694
75  1868863.285 534030.745 322.360
76  1868863.251 534030.738 322.324
77  1868863.183 534030.778 322.408
78  1868863.249 534030.766 322.429
79  1868878.525 534037.528 322.488
80  1868878.458 534037.463 322.552
81  1868878.536 534037.511 322.623
82  1868878.550 534037.548 322.703
p1  1867675.761 533856.417 315.944
p2  1867675.774 533856.431 315.953
p3  1867695.199 533860.430 315.233
p4  1867695.177 533860.410 315.211
p5  1867695.171 533860.399 315.217
p6  1867706.214 533862.597 317.935
p7  1867706.512 533862.061 318.136
p8  1867719.319 533865.703 317.262
p9  1867719.346 533865.688 317.255
p10  1867719.354 533865.684 317.251
p11  1867728.426 533837.373 315.610
p12  1867728.447 533836.831 316.843
p13  1867708.894 533830.586 315.438
p14  1867706.566 533829.878 315.297
p15  1867705.304 533829.417 315.362
p16  1867703.929 533827.931 315.327
p17  1867703.933 533827.941 315.342
p18  1867703.917 533827.027 315.339
p20  1867683.466 533822.076 315.091
p21  1867683.477 533822.045 315.059
p22  1867698.532 533825.015 315.977
p23  1867702.410 533825.200 314.119
p24  1867701.266 533815.338 313.785
p25  1867704.913 533815.508 313.362
