p2  1848643.878 552778.460 477.111
p3  1848646.151 552778.906 477.738
p4  1848648.788 552779.037 478.065
p5  1848651.651 552779.241 478.314
p6  1848654.235 552778.972 478.680
p7  1848665.146 552773.133 479.841
p8  1848666.890 552770.896 480.027
p9  1848668.636 552768.697 480.377
p10  1848670.520 552766.610 480.609
p11  1848673.047 552763.690 480.782
p12  1848674.614 552761.418 481.018
p13  1848676.232 552759.304 480.803
p14  1848677.920 552758.047 480.570
p15  1848680.522 552756.520 480.568
p16  1848683.062 552755.329 480.766
p17  1848685.714 552754.583 480.541
p18  1848688.453 552753.340 480.471
p19  1848690.861 552752.309 480.695
p20  1848693.309 552750.915 480.404
p21  1848698.236 552747.040 479.929
p22  1848700.728 552746.060 479.730
p23  1848702.973 552744.667 479.470
p24  1848705.077 552742.657 479.328
p25  1848707.258 552740.733 479.494
p26  1848709.129 552739.770 479.600
p27  1848711.609 552738.494 480.202
p28  1848714.198 552737.014 480.754
p29  1848716.458 552736.136 481.271
p30  1848718.351 552735.121 481.619
p31  1848720.142 552733.247 481.955
p32  1848722.693 552732.527 482.451
p33  1848724.693 552732.683 482.879
p34  1848727.377 552731.723 483.327
p35  1848730.099 552731.836 483.948
p36  1848732.433 552732.006 484.707
p37  1848734.583 552731.070 484.805
p38  1848736.619 552729.888 484.867
p39  1848744.130 552723.587 486.256
p40  1848727.715 552730.954 483.132
p41  1848717.731 552730.855 481.340
p42  1848701.221 552737.412 478.936
p43  1848685.026 552745.651 478.887
p44  1848671.291 552718.466 479.251
p46  1848647.625 552737.622 477.877
p47  1848647.622 552737.635 477.884
p48  1848646.687 552739.055 478.302
p49  1848644.940 552741.320 478.610
p50  1848643.008 552743.658 478.595
p51  1848641.192 552746.165 478.360
p52  1848639.508 552748.923 478.034
p53  1848637.808 552751.181 477.893
p54  1848636.987 552752.838 477.400
p55  1848635.220 552755.597 477.061
p56  1848633.627 552757.824 476.827
p57  1848632.899 552762.209 476.521
p58  1848634.896 552764.991 476.398
p59  1848635.220 552765.474 476.396
p60  1848636.675 552768.020 476.466
p61  1848637.603 552770.437 476.604
p62  1848638.804 552771.853 476.659
p63  1848640.326 552775.131 476.810
p64  1848642.098 552777.445 476.828
p65  1848642.859 552778.118 476.955
p66  1848645.152 552778.686 477.589
p67  1848647.924 552778.826 477.921
p68  1848650.851 552779.033 478.164
p69  1848653.749 552778.763 478.708
p70  1848656.701 552778.286 479.010
p71  1848675.116 552760.423 480.903
p72  1848677.556 552758.008 480.601
p73  1848682.259 552755.442 480.580
p74  1848625.276 552761.965 477.283
p75  1844229.691 548919.946 492.467
p76  1844237.188 548919.300 492.778
p77  1844232.800 548899.544 492.857
p78  1844227.070 548901.603 492.344
p79  1844233.251 548900.382 492.891
p80  1844265.981 548894.617 495.061
p81  1844269.705 548894.525 494.888
p82  1844292.788 548890.655 495.913
p83  1844322.922 548886.456 496.531
p84  1844357.974 548883.029 495.936
p85  1844359.673 548883.342 496.310
p86  1844349.595 548899.391 496.387
p87  1844348.294 548899.311 496.409
p88  1844314.090 548902.881 496.763
p89  1844270.038 548909.840 495.208
p90  1844236.173 548915.155 492.963
p91  1847326.776 535612.729 542.199
p92  1847419.817 534569.845 542.218
p93  1847419.575 534567.566 542.250
p94  1847420.588 534565.738 542.206
p95  1847420.553 534564.490 542.186
p96  1847420.087 534563.757 542.129
p97  1847419.854 534563.469 542.072
p99  1847419.782 534562.715 542.084
p100  1847419.784 534562.598 542.096
p101  1847419.499 534561.837 541.944
p102  1847419.131 534560.972 541.771
p103  1847419.162 534560.384 542.206
p104  1847418.850 534559.776 542.172
p105  1847418.077 534559.362 542.088
p106  1847417.276 534559.077 542.143
p107  1847416.459 534558.850 541.982
p108  1847415.588 534558.374 541.734
p109  1847415.038 534558.422 541.638
p110  1847414.179 534558.140 541.551
p111  1847413.182 534557.615 541.467
p112  1847411.898 534557.282 541.480
p113  1847410.505 534557.317 541.365
p114  1847409.086 534557.512 541.254
p115  1847407.798 534557.581 541.180
p116  1847406.466 534557.207 541.128
p117  1847405.478 534557.140 541.102
p118  1847404.243 534557.332 541.072
p119  1847403.023 534557.735 541.020
p120  1847401.537 534558.070 540.857
p121  1847400.109 534558.267 540.740
p122  1847398.676 534558.363 540.684
p123  1847394.843 534558.938 540.313
p124  1847393.762 534559.206 540.218
p125  1847392.854 534559.142 540.116
p126  1847391.773 534558.515 539.976
p127  1847390.703 534557.670 539.872
p128  1847389.864 534556.989 539.741
p129  1847389.181 534556.135 539.549
p130  1847388.462 534555.872 539.397
p131  1847388.114 534555.588 538.859
p132  1847386.707 534554.801 538.618
p133  1847386.076 534554.275 538.550
p134  1847385.069 534553.413 538.494
p135  1847384.438 534552.967 538.345
p136  1847384.593 534552.995 538.222
p137  1847384.586 534553.077 538.209
p138  1847384.603 534553.081 538.217
p139  1847384.606 534553.054 538.219
p140  1847384.602 534553.059 538.215
p141  1847384.609 534553.060 538.221
p142  1847384.498 534552.950 538.722
p143  1847381.764 534549.167 539.032
p144  1847381.768 534549.124 539.027
p145  1847382.115 534548.687 539.022
p146  1847382.293 534548.105 538.653
p147  1847381.430 534547.197 538.458
p148  1847380.843 534546.078 538.602
p149  1847381.197 534545.197 538.612
p150  1847381.415 534544.082 538.641
