Name,Code,N,E,Z
Base:1,,1839666.118,552130.371,447.916
1,,1839169.064,551980.353,405.236
2,,1839170.298,551980.028,405.238
3,,1839150.869,551967.832,405.709
4,,1839172.396,551981.401,405.171
5,,1839166.562,551992.201,403.727
6,,1839163.098,551989.423,403.723
7,,1839152.017,551994.638,402.830
8,,1839151.757,551984.401,403.476
9,,1839154.455,551987.350,403.503
10,,1839146.252,551991.793,402.821
11,,1839161.749,551975.877,406.334
12,,1839158.542,551974.094,406.273
13,,1839151.072,551970.056,405.741
14,,1839146.136,551967.358,405.858
15,,1839155.139,551954.180,406.928
16,,1839150.390,551968.471,405.866
17,,1839182.691,551966.615,406.330
18,,1839182.526,551965.329,406.318
19,,1839189.295,551955.224,407.560
20,,1839150.337,552007.969,403.077
21,,1839135.006,552000.466,402.970
