Name N E Z
p1 1841861.925 548897.053 526.150
p2 1841861.905 548897.049 526.145
p3 1841845.207 548908.791 524.977
p4 1841845.211 548908.789 524.976
p5 1841823.786 548927.387 523.805
p6 1841823.785 548927.386 523.799
p7 1841814.560 548938.168 523.619
p8 1841814.570 548938.159 523.619
p9 1841815.905 548955.068 525.127
p10 1841815.902 548955.079 525.135
p11 1840748.693 552082.200 434.642
p12 1840748.694 552082.198 434.646
p13 1840768.349 552103.395 432.744
p14 1840788.963 552123.813 432.034
p15 1840788.958 552123.822 432.032
p16 1840843.835 552072.349 441.049
p17 1840843.834 552072.346 441.047
p18 1840806.767 552032.139 439.764
p19 1840806.773 552032.137 439.757
p20 1840807.474 552028.384 440.236
