Point name,Code,Northing,Easting,Height,Latitude,Longitude,Elevation,Date,Time,HRMS,VRMS,PDOP,Antenna H.,Solution,Lock SV,Chainage,Offset distance,HD to Previous Pt,SD to Previous Pt,H difference to Previous Pt,Dist. to Base (Plane),Detailed satellites,GNSS Status
Pt1,,1838917.536,551159.719,374.311,16.6260983577,106.7313771943,358.267,2022-06-27,17:28:31,0.007,0.012,0.875,1.876,Fixed,41,0.000,0.000,0.000,0.000,0.000,239.243,G9+R3+C20+E5+J4,43
Pt2,,1838927.199,551175.301,375.441,16.6261852955,106.7315233820,359.404,2022-06-27,17:29:38,0.076,0.149,1.084,1.876,Fixed,38,0.000,0.000,18.335,18.370,-1.131,227.226,G8+R3+C19+E5+J3,43
Pt3,,1838922.435,551180.692,374.739,16.6261419118,106.7315739687,358.679,2022-06-27,17:30:49,0.013,0.024,1.000,1.876,Fixed,39,0.000,0.000,7.195,7.229,0.702,220.573,null,0
Pt4,,1838925.533,551169.690,377.192,16.6261700781,106.7314670277,360.558,2022-06-27,17:38:34,0.004,0.007,1.030,1.876,Fixed,39,0.000,0.000,11.429,11.689,-2.453,418.182,null,0
Pt5,,1838926.969,551169.037,376.952,16.6261830695,106.7314609351,360.317,2022-06-27,17:38:50,0.010,0.014,1.016,1.876,Fixed,39,0.000,0.000,1.578,1.596,0.240,418.756,null,0
Pt6,,1838929.586,551174.016,378.128,16.6262066114,106.7315076618,361.494,2022-06-27,17:39:46,0.006,0.010,1.331,1.876,Fixed,33,0.000,0.000,5.625,5.747,-1.177,413.651,null,0
Pt7,,1838917.767,551185.217,377.859,16.6260995679,106.7316123888,361.225,2022-06-27,17:40:17,0.010,0.014,0.993,1.876,Fixed,37,0.000,0.000,16.283,16.285,0.269,403.213,null,0
Pt8,,1838914.206,551194.747,378.483,16.6260671773,106.7317016305,361.850,2022-06-27,17:41:24,0.093,0.184,1.122,1.876,Float,37,0.000,0.000,10.173,10.192,-0.625,394.014,G8+R2+C20+E4+J3,50
Pt9,,1838914.203,551194.745,378.482,16.6260671472,106.7317016118,361.849,2022-06-27,17:41:28,0.094,0.185,1.115,1.876,Float,36,0.000,0.000,0.004,0.004,0.001,394.015,G8+R1+C20+E4+J3,50
Pt10,,1838912.886,551196.902,378.736,16.6260552049,106.7317218049,362.103,2022-06-27,17:41:40,0.104,0.206,0.970,1.876,Float,40,0.000,0.000,2.527,2.540,-0.254,391.986,G8+R4+C21+E4+J3,50
