Point name,Northing,Easting,Height,Latitude,Longitude,Elevation,Date,Time,HRMS,VRMS,PDOP,Antenna H.,Solution,Lock SV,Chainage,Offset distance,HD to Previous Pt,SD to Previous Pt,H difference to Previous Pt,Dist. to Base (Plane),Detailed satellites,GNSS Status
Pt1,1838917.536,551159.719,374.311,16.62609836,106.7313772,358.267,6/27/2022,17:28:31,0.007,0.012,0.875,1.876,Fixed,41,0,0,0,0,0,239.243,G9+R3+C20+E5+J4,43
Pt2,1838927.199,551175.301,375.441,16.6261853,106.7315234,359.404,6/27/2022,17:29:38,0.076,0.149,1.084,1.876,Fixed,38,0,0,18.335,18.37,-1.131,227.226,G8+R3+C19+E5+J3,43
Pt3,1838922.435,551180.692,374.739,16.62614191,106.731574,358.679,6/27/2022,17:30:49,0.013,0.024,1,1.876,Fixed,39,0,0,7.195,7.229,0.702,220.573,null,0
Pt4,1838925.533,551169.69,377.192,16.62617008,106.731467,360.558,6/27/2022,17:38:34,0.004,0.007,1.03,1.876,Fixed,39,0,0,11.429,11.689,-2.453,418.182,null,0
Pt5,1838926.969,551169.037,376.952,16.62618307,106.7314609,360.317,6/27/2022,17:38:50,0.01,0.014,1.016,1.876,Fixed,39,0,0,1.578,1.596,0.24,418.756,null,0
Pt6,1838929.586,551174.016,378.128,16.62620661,106.7315077,361.494,6/27/2022,17:39:46,0.006,0.01,1.331,1.876,Fixed,33,0,0,5.625,5.747,-1.177,413.651,null,0
Pt7,1838917.767,551185.217,377.859,16.62609957,106.7316124,361.225,6/27/2022,17:40:17,0.01,0.014,0.993,1.876,Fixed,37,0,0,16.283,16.285,0.269,403.213,null,0
Pt8,1838914.206,551194.747,378.483,16.62606718,106.7317016,361.85,6/27/2022,17:41:24,0.093,0.184,1.122,1.876,Float,37,0,0,10.173,10.192,-0.625,394.014,G8+R2+C20+E4+J3,50
Pt9,1838914.203,551194.745,378.482,16.62606715,106.7317016,361.849,6/27/2022,17:41:28,0.094,0.185,1.115,1.876,Float,36,0,0,0.004,0.004,0.001,394.015,G8+R1+C20+E4+J3,50
Pt10,1838912.886,551196.902,378.736,16.6260552,106.7317218,362.103,6/27/2022,17:41:40,0.104,0.206,0.97,1.876,Float,40,0,0,2.527,2.54,-0.254,391.986,G8+R4+C21+E4+J3,50
Pt11,1838912.895,551196.904,378.737,16.62605528,106.7317218,362.104,6/27/2022,17:41:44,0.104,0.206,0.948,1.876,Float,40,0,0,0.009,0.009,-0.001,391.983,G8+R4+C21+E4+J3,50
Pt12,1838938.19,551214.35,379.956,16.62628349,106.7318859,363.323,6/27/2022,17:42:31,0.005,0.008,0.968,1.876,Fixed,39,0,0,30.727,30.752,-1.219,373.01,null,0
Pt13,1838942.697,551206.944,378.396,16.62632438,106.7318166,361.762,6/27/2022,17:43:16,0.01,0.013,0.933,1.876,Fixed,40,0,0,8.67,8.809,1.56,380.309,null,0
Pt14,1838944.507,551201.021,378.09,16.62634087,106.7317611,361.456,6/27/2022,17:43:39,0.007,0.011,1.013,1.876,Fixed,37,0,0,6.194,6.201,0.306,386.205,null,0
Pt15,1838946.838,551198.675,377.776,16.62636198,106.7317392,361.142,6/27/2022,17:44:02,0.008,0.012,0.939,1.876,Fixed,40,0,0,3.307,3.322,0.314,388.53,null,0
Pt16,1838952.412,551195.793,377.908,16.62641241,106.7317123,361.275,6/27/2022,17:44:31,0.006,0.01,0.882,1.876,Fixed,41,0,0,6.275,6.276,-0.133,391.417,null,0
Pt17,1838957.171,551191.124,377.953,16.62645553,106.7316686,361.319,6/27/2022,17:44:53,0.006,0.01,0.802,1.876,Fixed,45,0,0,6.667,6.668,-0.045,396.153,null,0
Pt18,1838963.31,551189.816,378.391,16.62651103,106.7316565,361.757,6/27/2022,17:45:14,0.005,0.008,0.809,1.876,Fixed,44,0,0,6.276,6.292,-0.438,397.63,null,0
Pt19,1838972.846,551199.034,379.575,16.62659701,106.7317431,362.941,6/27/2022,17:46:12,0.007,0.011,0.82,1.876,Fixed,44,0,0,13.263,13.316,-1.184,388.879,null,0
