Name,Code,E,N,Z
p1,1,551307.072,1838748.674,391.361
p2,1,551307.070,1838748.662,391.342
p3,1,551307.062,1838748.664,391.350
p4,2,551310.397,1838750.203,395.158
p5,2,551310.397,1838750.200,395.156
p6,2,551310.405,1838750.198,395.158
p7,3,551317.523,1838728.695,389.159
p8,3,551317.514,1838728.637,389.062
p9,3,551317.516,1838728.644,389.065
p10,3,551317.513,1838728.638,389.075
p11,4,551310.209,1838723.265,389.545
p12,4,551310.207,1838723.270,389.565
p13,4,551310.211,1838723.269,389.551
p14,5,551317.444,1838728.315,389.600
p15,5,551317.444,1838728.324,389.590
p16,5,551317.443,1838728.321,389.590
p17,5,551317.445,1838728.321,389.585
p18,5,551312.894,1838728.104,389.515
p19,6,551312.882,1838728.112,389.540
p20,6,551312.878,1838728.102,389.557
p21,6,551308.107,1838711.356,388.924
p22,6,551308.096,1838711.342,388.937
p23,6,551308.100,1838711.349,388.932
p24,8,551306.994,1838713.307,389.799
p25,8,551306.976,1838713.275,390.054
p26,8,551306.966,1838713.274,390.074
p27,8,551306.961,1838713.275,390.076
p28,9,551299.912,1838752.788,389.948
p29,9,551299.929,1838752.784,389.937
p30,9,551295.877,1838749.478,389.747
p31,9,551295.820,1838749.464,389.676
