p1  1839074.476 552294.945 396.730
p2  1839076.771 552293.022 396.815
p3  1839091.535 552312.435 397.613
p4  1839093.678 552310.270 397.683
p5  1839093.328 552314.193 397.606
p6  1839095.522 552316.144 397.668
p7  1839081.416 552325.506 397.007
p8  1839083.531 552327.778 396.929
p9  1839073.858 552332.714 395.980
p10  1839076.232 552334.847 396.172
p11  1839070.495 552335.465 396.110
p12  1839070.498 552335.461 396.107
p13  1839065.292 552323.335 395.860
p14  1839065.292 552323.338 395.856
p15  1839071.077 552338.039 395.394
p16  1839074.136 552338.645 395.460
p17  1839065.561 552281.522 395.243
p18  1839069.541 552280.638 395.692
p19  1839067.871 552276.544 395.373
p20  1839045.453 552282.851 393.065
p21  1839046.556 552285.821 393.126
p22  1839048.114 552286.491 393.297
p23  1839048.112 552286.492 393.298
p24  1839054.566 552301.903 394.799
p25  1839054.581 552301.911 394.805
