p118  1852593.355 537046.934 545.717
p126  1853668.815 537302.431 605.590
p127  1853704.015 537331.096 610.237
p128  1853725.456 537332.934 608.440
p130  1853773.908 537320.018 630.483
p136  1853756.569 537497.826 673.289
p150  1853446.954 537331.081 590.289
p153  1853386.500 537233.658 586.732
p154  1853340.670 537186.190 587.264
p161  1853508.465 537070.240 624.193
p162  1853514.287 537033.320 617.270
p167  1853460.986 536985.555 619.100
p171  1853424.992 537090.426 600.605
p175  1853469.342 536963.220 620.352
p178  1853448.510 536902.811 607.869
p179  1853468.731 536854.449 603.591
p180  1853486.835 536819.134 597.035
p181  1853500.566 536807.759 595.268
p182  1853497.274 536768.198 584.841
p183  1853465.184 536740.519 582.053
p184  1853430.056 536752.454 578.036
p185  1853395.098 536758.928 597.973
p186  1853358.400 536774.612 585.048
p187  1853315.608 536817.376 603.626
p188  1853300.117 536783.514 577.909
p189  1853268.077 536789.218 572.713
p190  1853256.988 536826.762 592.751
p193  1853237.058 536903.990 597.717
p200  1853341.762 536952.288 618.316
p203  1853406.813 536955.780 619.068
p211  1853333.530 537004.117 601.836
p212  1853355.716 536996.012 597.013
p216  1853435.554 536966.098 624.758
p228  1853000.900 536752.981 574.827
p229  1852955.746 536721.107 579.644
p230  1852943.742 536710.189 560.574
p1  1839156.093 552051.493 399.954
p2  1839145.822 552045.232 400.067
p3  1839129.698 552080.271 394.847
p4  1839138.925 552084.392 396.618
p5  1839121.597 552076.492 393.371
p6  1839137.942 552039.601 399.196
p7  1840530.546 549358.528 438.738
p8  1840508.974 549359.710 438.232
p9  1840496.965 549360.735 436.327
p10  1840499.217 549359.412 436.477
p11  1840497.567 549351.691 436.006
p12  1840495.877 549351.967 436.190
p13  1840485.153 549365.669 435.476
p14  1840477.572 549370.314 438.652
p15  1840475.624 549368.003 438.384
p16  1840462.214 549367.898 434.551
p17  1840461.551 549355.320 434.541
p18  1840473.105 549355.780 437.217
p19  1840487.660 549350.727 437.285
p20  1840516.207 549346.869 438.333
p21  1840522.971 549343.745 439.300
p22  1840528.099 549346.391 439.256
p23  1840464.092 549375.099 434.875
p24  1840432.850 549371.036 432.552
p25  1840427.131 549375.875 432.274
p26  1840440.182 549384.346 433.152
p27  1840453.430 549397.117 432.986
p28  1840473.494 549380.385 433.237
p29  1840985.974 551635.964 451.798
p30  1840990.611 551639.153 451.783
p31  1840976.414 551657.392 451.430
p32  1840972.814 551652.911 451.570
p33  1840952.254 551630.987 449.463
p34  1840959.694 551621.185 449.410
