Name,Code,N,E,Z
p1,,1838700.886,548894.177,-1402.441
p2,,1838701.299,548895.874,-1402.486
p3,,1838704.796,548895.237,-1402.368
p4,,1838694.549,548868.989,-1401.545
p5,,1838697.903,548868.613,-1401.584
p6,,1838686.719,548840.086,-1401.175
p7,,1838689.498,548837.010,-1400.984
p8,,1838686.489,548837.561,-1400.990
p9,,1838678.074,548843.224,-1402.793
p10,,1838690.778,548885.776,-1403.414
p11,,1838692.713,548896.585,-1403.906
p12,,1839002.417,550151.784,-1427.275
p13,,1839014.189,550144.276,-1426.266
