Name,Code,N,E,Z
p1,,1838146.146,548177.652,357.905
p2,,1838167.968,548164.651,349.447
p3,,1838157.923,548152.334,349.587
p4,,1838134.976,548165.647,357.592
p5,,1838130.520,548165.888,358.001
p6,,1838120.095,548170.850,357.206
p7,,1838131.462,548188.856,357.716
p8,,1838141.564,548183.794,358.513
p9,,1838170.073,548209.410,359.537
p10,,1838172.377,548216.864,359.712
p11,,1838434.044,547701.915,369.464
p12,,1838431.728,547704.185,369.323
p13,,1838446.218,547718.446,370.087
p14,,1838446.654,547715.319,370.101
p15,,1838452.469,547722.083,370.277
p16,,1838453.069,547719.234,370.231
p17,,1838456.030,547719.690,370.430
p18,,1838459.757,547722.572,370.548
p19,,1838459.769,547719.303,370.550
p20,,1838465.362,547715.330,370.803
p21,,1838469.884,547716.218,370.694
p22,,1838469.076,547712.905,370.823
p23,,1838471.663,547711.943,370.934
p24,,1838475.729,547714.687,370.762
p25,,1838480.372,547710.808,370.880
p26,,1838479.026,547714.621,370.993
p27,,1838481.457,547715.876,371.020
p28,,1838484.022,547715.775,370.954
p29,,1838481.632,547702.356,370.924
p30,,1838484.217,547702.503,370.919
p31,,1838486.978,547687.524,370.818
p32,,1838484.606,547686.771,370.886
p33,,1838490.854,547659.121,370.269
p34,,1838494.626,547659.624,370.301
p35,,1838486.153,547658.155,370.449
p36,,1838483.381,547657.085,370.449
p37,,1838470.757,547655.499,370.608
p38,,1838462.472,547652.288,370.175
p39,,1838453.770,547649.217,369.762
p40,,1838446.262,547646.201,370.630
p41,,1838440.143,547655.122,369.655
p42,,1838442.015,547660.074,370.075
p43,,1838438.302,547670.190,369.808
p44,,1838438.053,547673.311,369.802
p45,,1838445.914,547680.686,370.381
p46,,1838441.660,547692.961,370.016
p47,,1839244.859,552788.214,395.011
p48,,1839242.855,552791.830,395.078
p49,,1839239.156,552793.417,394.691
p50,,1839242.292,552796.677,394.847
p51,,1839238.028,552796.577,394.605
p52,,1839228.954,552807.829,392.341
p53,,1839231.567,552809.817,392.148
p54,,1839228.591,552776.232,394.471
p55,,1839230.510,552774.533,394.138
p56,,1839228.615,552771.662,394.520
p57,,1839210.402,552785.625,397.970
p58,,1839207.951,552781.352,397.800
