Name,Code,N,E,Z
p4,,1836028.434,544618.586,295.532
p1,,1836023.171,544578.269,301.728
p2,,1836031.941,544580.978,299.399
p3,,1836043.500,544614.126,298.604
p5,,1836022.565,544616.251,291.444
p6,,1836014.243,544556.068,301.805
p7,,1838386.565,550872.085,372.338
p8,,1838386.567,550872.087,372.341
p9,,1838387.535,550870.866,371.959
p10,,1838390.120,550869.586,371.778
p11,,1838366.650,550880.503,377.855
p12,,1838366.652,550880.501,377.856
p13,,1838364.015,550880.769,377.832
p14,,1838364.017,550880.769,377.827
p15,,1838338.925,550892.385,380.541
p16,,1838338.922,550892.376,380.548
p17,,1838334.433,550895.385,380.799
p18,,1838334.435,550895.379,380.798
p19,,1838338.930,550901.906,380.136
p20,,1838338.927,550901.915,380.149
p21,,1838334.666,550905.005,380.093
p22,,1838334.672,550905.003,380.088
p23,,1838338.272,550910.166,379.654
p24,,1838338.272,550910.165,379.644
p25,,1838343.853,550917.707,379.384
p26,,1838350.395,550912.765,377.471
p27,,1838350.581,550913.319,377.364
p28,,1838352.267,550915.464,377.356
p29,,1838358.695,550910.629,375.486
p30,,1838356.812,550908.510,375.655
p31,,1838370.735,550899.988,373.779
p32,,1838372.878,550901.070,373.739
p33,,1838395.138,550882.490,371.572
p34,,1838396.321,550885.429,371.585
p35,,1838395.969,550886.332,371.558
p36,,1838398.467,550885.028,371.456
p37,,1838408.449,550878.040,370.966
p38,,1838403.900,550869.904,371.223
p39,,1838400.556,550861.533,371.436
p40,,1838393.370,550876.888,371.618
p41,,1838391.181,550878.008,372.118
