Name,Code,N,E,Z
Base:p95,,1839666.118,552130.371,447.916
p95,,1838166.022,549439.006,380.931
Base:p1,,1839666.118,552130.371,447.916
p1,,1838327.486,549619.326,371.700
p2,,1838322.902,549601.794,371.830
p3,,1838310.739,549603.077,371.936
p4,,1838315.839,549622.486,371.812
p5,,1837962.185,549634.952,374.181
p6,,1837963.720,549632.740,374.547
p7,,1837949.402,549640.804,372.270
p8,,1837945.429,549635.076,371.946
p9,,1837945.154,549630.384,372.880
p10,,1837945.707,549628.309,373.082
p11,,1837947.867,549623.215,373.819
p12,,1837954.760,549621.548,374.757
p13,,1837953.255,549619.292,375.091
p14,,1837948.716,549621.179,374.375
p15,,1837946.481,549620.636,374.029
p16,,1837945.435,549622.017,373.899
p17,,1837957.256,549622.060,374.975
p18,,1837958.252,549620.642,375.216
p19,,1837957.565,549618.113,375.590
p20,,1837960.217,549619.881,375.349
p21,,1836028.067,542618.189,210.082
p22,,1836028.073,542618.174,210.084
p23,,1836017.922,542628.388,210.128
p24,,1836021.774,542632.261,210.205
p25,,1836026.382,542635.315,209.947
p26,,1836053.977,542646.004,209.520
p27,,1836056.370,542647.219,209.362
p28,,1836046.613,542657.855,209.547
p29,,1836045.074,542655.809,209.599
p30,,1836045.568,542653.709,209.566
p31,,1836030.756,542631.205,209.747
p32,,1836049.338,542648.975,209.348
p33,,1836300.134,541968.638,208.552
p34,,1836283.974,541976.944,208.131
p35,,1836257.046,541987.198,207.268
p36,,1836245.592,541993.531,206.954
p37,,1836242.270,541989.775,206.140
p38,,1836216.776,542008.203,205.638
p39,,1836203.401,541993.565,203.675
p40,,1836203.859,541994.070,203.732
p41,,1836262.830,541919.655,202.861
p42,,1836275.350,541935.045,205.830
p43,,1836298.562,541931.313,206.544
p44,,1836320.670,541953.878,208.236
p45,,1834573.833,543578.795,208.657
p46,,1834574.154,543576.268,208.638
p47,,1834586.824,543579.075,208.446
p48,,1834586.217,543581.609,208.435
p49,,1834589.226,543582.331,208.384
p50,,1834589.720,543579.745,208.430
p51,,1834595.046,543581.358,208.388
p52,,1834594.057,543584.050,208.368
p53,,1834599.315,543587.139,208.369
p54,,1834600.754,543585.120,208.365
p55,,1834605.621,543589.198,208.345
p56,,1834603.371,543591.036,208.335
p57,,1834608.050,543598.411,208.273
p58,,1834610.452,543597.461,208.324
p59,,1834569.231,543599.604,209.192
p60,,1834570.230,543596.847,209.080
p61,,1834565.453,543598.147,209.085
p62,,1834565.873,543601.423,209.466
p63,,1834577.456,543582.117,208.647
p64,,1834574.976,543580.705,208.643
p65,,1834605.272,543598.443,208.202
p66,,1836182.637,543105.757,216.863
p67,,1836179.395,543106.296,217.105
p68,,1836180.138,543090.413,216.912
p69,,1836176.265,543091.742,217.335
p70,,1836140.218,543106.937,224.334
p71,,1836110.928,543118.349,229.389
p72,,1836110.953,543118.394,229.386
p73,,1836115.513,543125.562,230.457
p74,,1835575.578,542758.870,211.822
p75,,1835572.262,542759.892,211.758
p76,,1835566.801,542762.916,211.538
p77,,1835557.880,542767.030,211.092
p78,,1835547.052,542771.066,213.240
p79,,1838210.237,549438.523,379.324
p80,,1838209.960,549427.176,379.101
p81,,1838194.309,549431.008,378.836
p82,,1838194.497,549430.939,379.643
p83,,1838195.275,549436.075,379.515
p84,,1838195.309,549436.081,379.501
p85,,1838195.192,549438.675,379.410
p86,,1838186.068,549431.840,382.813
p87,,1838172.414,549433.248,382.485
p88,,1838160.955,549434.658,382.067
p89,,1838160.728,549434.835,380.885
p90,,1838157.914,549435.586,380.987
p91,,1838158.946,549439.877,381.020
p92,,1838158.926,549439.894,381.025
p93,,1838162.201,549440.098,381.040
p94,,1838162.592,549439.431,381.214
p96,,1837096.128,536486.439,209.369
p97,,1837097.676,536480.551,209.367
p98,,1837097.990,536479.881,209.362
p99,,1837095.174,536468.134,209.481
p100,,1837097.267,536463.136,209.564
p101,,1837100.463,536454.600,209.503
p102,,1837064.968,536471.998,209.902
p103,,1837059.392,536469.597,209.923
p104,,1837064.764,536472.723,209.875
p105,,1837057.787,536467.633,210.053
p106,,1837051.741,536468.893,210.076
p107,,1837047.856,536452.607,209.960
p108,,1837052.431,536445.696,210.148
p109,,1839136.485,537002.525,219.338
p110,,1839138.067,537005.205,219.660
p111,,1839151.025,536997.513,220.453
p112,,1839149.338,536994.093,220.304
p113,,1839156.129,537032.116,221.175
p114,,1839163.022,537022.904,221.696
p115,,1838720.994,536661.355,211.634
p116,,1838733.222,536649.658,211.905
p117,,1838716.110,536627.184,217.163
p118,,1838718.157,536629.206,217.173
p119,,1838686.803,536664.842,215.260
p120,,1838667.353,536686.497,214.960
p121,,1838356.069,549684.469,371.795
p122,,1838353.050,549670.393,372.154
p123,,1838356.229,549668.844,371.769
p124,,1838355.803,549665.943,371.856
p125,,1838353.532,549664.809,371.757
p126,,1838352.304,549659.283,371.712
p127,,1838364.925,549658.034,371.767
p128,,1838374.509,549656.560,371.936
p129,,1838378.851,549658.019,372.146
p130,,1838382.892,549680.231,371.750
