p1  1839840.967 553804.647 312.462
p2  1839840.961 553804.642 312.458
p3  1839873.205 553791.860 312.865
p4  1839873.210 553791.861 312.872
p5  1839871.076 553786.015 313.944
p6  1839871.100 553785.947 313.947
p7  1839882.193 553782.335 314.646
p8  1839882.195 553782.338 314.630
p9  1839906.612 553772.945 313.835
p10  1839906.616 553772.944 313.844
p11  1839927.078 553764.958 312.790
p12  1839927.080 553764.955 312.774
p13  1839839.090 553804.764 311.914
p14  1839837.330 553805.583 311.714
p15  1839830.126 553810.661 312.150
p16  1839837.749 553821.341 311.224
p17  1839844.296 553829.005 310.434
p18  1839851.902 553824.086 309.924
p19  1839853.668 553822.859 310.299
p20  1839846.828 553814.615 310.910
p21  1839844.670 553815.858 310.811
p22  1839729.759 551977.686 408.330
p23  1839729.755 551977.688 408.318
p24  1839731.102 551985.587 411.451
p25  1839731.095 551985.575 411.482
p26  1839756.751 551976.669 410.271
p27  1839756.756 551976.685 410.267
p28  1839758.501 551984.898 411.844
p29  1839758.503 551984.897 411.840
p30  1839759.127 551985.486 411.231
p31  1839761.799 551985.121 411.289
p32  1839760.865 551975.090 410.200
p33  1839758.248 551975.199 410.179
p34  1839728.464 551976.836 407.852
p35  1839723.223 551976.537 407.782
p36  1839723.735 551987.425 409.030
p37  1839727.786 551988.390 409.118
