Name,	Code,	N,	E,	Z,	Depth,	RMS_x,	RMS_y,	RMS_h,	RMS,	PDOP,	Used SV,	Elevation,	End time,	B,	L,	84H,	To base_X,	To base_Y,	To base_H,	To Base,	Antenna height,	Measure times,	Solution,	Diff age
p1,?,1840466.591,554088.463,123.103,0.000,0.005,0.005,0.016,0.012,1.602,13,10,2020Y11M09D08H46M50S,16°38'24.11172",106°45'31.90287",109.757,800.473,1958.092,-324.823,2140.184,2.000,10,fixed,1
p2,?,1840470.835,554106.356,123.669,0.000,0.006,0.006,0.018,0.014,1.847,14,10,2020Y11M09D08H47M49S,16°38'24.24831",106°45'32.50704",110.323,804.717,1975.985,-324.257,2158.061,2.000,10,fixed,1
p3,?,1840451.842,554111.969,124.708,0.000,0.004,0.004,0.007,0.006,1.627,16,10,2020Y11M09D08H48M37S,16°38'23.62996",106°45'32.69481",111.363,785.724,1981.597,-323.218,2156.052,2.000,10,fixed,1
p4,?,1840468.976,554098.427,123.418,0.000,0.005,0.005,0.013,0.010,1.611,14,10,2020Y11M09D08H49M27S,16°38'24.18847",106°45'32.23931",110.072,802.857,1968.056,-324.508,2150.146,2.000,10,fixed,1
p5,?,1840468.116,554094.677,123.723,0.000,0.003,0.003,0.008,0.006,1.446,16,10,2020Y11M09D08H49M51S,16°38'24.16081",106°45'32.11270",110.377,801.997,1964.306,-324.203,2146.347,2.000,10,fixed,1
p6,?,1840446.626,554092.676,124.448,0.000,0.006,0.006,0.019,0.014,1.571,15,10,2020Y11M09D08H50M48S,16°38'23.46184",106°45'32.04332",111.102,780.507,1962.305,-323.478,2136.462,2.000,10,fixed,1
p7,?,1840474.211,554093.120,120.859,0.000,0.002,0.002,0.006,0.005,1.445,16,10,2020Y11M09D08H51M51S,16°38'24.35924",106°45'32.06066",107.513,808.093,1962.748,-327.067,2147.642,2.000,10,fixed,1
p8,?,1840475.056,554096.872,121.287,0.000,0.003,0.003,0.007,0.005,1.444,16,10,2020Y11M09D08H52M16S,16°38'24.38640",106°45'32.18736",107.941,808.937,1966.501,-326.639,2151.325,2.000,10,fixed,1
p9,?,1840477.213,554104.754,122.017,0.000,0.002,0.002,0.006,0.005,1.444,16,10,2020Y11M09D08H52M43S,16°38'24.45594",106°45'32.45354",108.671,811.095,1974.383,-325.909,2159.231,2.000,10,fixed,1
p10,?,1840482.860,554103.811,121.799,0.000,0.004,0.004,0.009,0.007,1.561,16,10,2020Y11M09D08H53M02S,16°38'24.63971",106°45'32.42220",108.453,816.741,1973.440,-326.127,2160.530,2.000,10,fixed,1
p11,?,1840479.432,554085.413,120.102,0.000,0.003,0.003,0.007,0.005,1.423,17,10,2020Y11M09D08H53M32S,16°38'24.52973",106°45'31.80103",106.756,813.314,1955.041,-327.824,2142.693,2.000,10,fixed,1
p12,?,1840474.055,554086.257,120.217,0.000,0.003,0.003,0.007,0.005,1.319,17,10,2020Y11M09D08H53M50S,16°38'24.35472",106°45'31.82906",106.871,807.936,1955.885,-327.709,2141.411,2.000,10,fixed,1
