p1  1835918.013 540852.881 213.146
FY_1_0  1835918.070 540852.829 213.108
p3  1835801.808 541036.685 214.370
p4  1835804.087 541024.536 215.612
p5  1835804.085 541024.531 215.618
p6  1835806.569 541012.252 216.024
p7  1835806.565 541012.276 216.060
p8  1835815.910 541014.018 216.130
p9  1835815.910 541014.012 216.119
p10  1835839.721 541018.491 216.281
p11  1835839.716 541018.494 216.281
p12  1835854.896 541021.418 216.568
p13  1835854.893 541021.423 216.579
p14  1835853.125 541031.143 216.770
p15  1835853.121 541031.121 216.762
p16  1835850.517 541045.403 217.584
p17  1835850.521 541045.390 217.577
p18  1835844.273 541044.549 217.180
p19  1835844.261 541044.535 217.144
p20  1835832.239 541042.303 216.692
p21  1835832.241 541042.298 216.678
p22  1835820.584 541040.138 216.458
p23  1835820.610 541040.147 216.420
p24  1835808.948 541037.970 215.314
p25  1835808.924 541037.975 215.312
